provider_id,full name,email,phone,category,city,address,latitude,longitude,rating,reviews_count,price_per_hour,availability,specialties,experience_years,verified,profile_image,description
JS0M0D827W,Jayant Manavraj Dave,jayant.dave628@gmail.com,9506606871,Plumber,Mumbai,268 Mumbai Street,19.057914,72.858899,2,63,791,Available,Wall Painting,17,Yes,https://randomuser.me/api/portraits/men/21.jpg,Professional plumber service provider in Mumbai
1Z0NWTKPZR,Pratyush Ashwin Rao,pratyush.rao325@gmail.com,9793603972,Plumber,Mumbai,751 Mumbai Street,19.078494,72.883909,2,196,783,Busy,Furniture Repair,20,No,https://randomuser.me/api/portraits/men/65.jpg,Professional plumber service provider in Mumbai
7HXTXEBL6X,Manan Premkishore Bhansali,manan.bhansali608@gmail.com,9913339902,Plumber,Mumbai,568 Mumbai Street,19.093131,72.888182,2,272,724,Available,Electrical Wiring,6,No,https://randomuser.me/api/portraits/men/30.jpg,Professional plumber service provider in Mumbai
YHAWVMB3SK,Dikshit Aakarsh Jadhav,dikshit.jadhav648@gmail.com,9164609541,Plumber,Mumbai,872 Mumbai Street,19.065609,72.860718,2,105,256,On Leave,Furniture Repair,7,No,https://randomuser.me/api/portraits/men/47.jpg,Professional plumber service provider in Mumbai
NEMU8CYZTE,Binal Anand Bhave,binal.bhave942@gmail.com,9804623307,Plumber,Mumbai,757 Mumbai Street,19.094741,72.897358,2,137,866,Busy,Pipe Repair,14,No,https://randomuser.me/api/portraits/men/68.jpg,Professional plumber service provider in Mumbai
GX7Y8U1TP9,Gargi Sebastiansamy Arya,gargi.arya276@gmail.com,9719556731,Plumber,Mumbai,927 Mumbai Street,19.094967,72.885462,2,139,797,Busy,AC Gas Refill,1,Yes,https://randomuser.me/api/portraits/men/49.jpg,Professional plumber service provider in Mumbai
8V9D81MCGN,Charu Antriksh Mukherjee,charu.mukherjee308@gmail.com,9578265507,Plumber,Mumbai,815 Mumbai Street,19.076357,72.896349,2,191,752,Busy,Termite Treatment,7,No,https://randomuser.me/api/portraits/men/85.jpg,Professional plumber service provider in Mumbai
OG22S7N7VZ,Tanya Dharamdas Mukherjee,tanya.mukherjee705@gmail.com,9679972901,Plumber,Mumbai,989 Mumbai Street,19.093713,72.866798,2,69,626,Available,Furniture Repair,15,No,https://randomuser.me/api/portraits/men/39.jpg,Professional plumber service provider in Mumbai
AI9RINTB9I,Yamika Yogendra Fernandes,yamika.fernandes216@gmail.com,9365769326,Plumber,Mumbai,905 Mumbai Street,19.065703,72.881095,2,148,307,Busy,Fridge Repair,17,No,https://randomuser.me/api/portraits/men/75.jpg,Professional plumber service provider in Mumbai
XIXT6HDH4I,Shubham Manojkumar Haval,shubham.haval440@gmail.com,9150260171,Plumber,Mumbai,903 Mumbai Street,19.061756,72.880883,2,281,681,Busy,Electrical Wiring,15,Yes,https://randomuser.me/api/portraits/men/6.jpg,Professional plumber service provider in Mumbai
BMTWBBYKG6,Sagar Abhimanyu Brahmbhatt,sagar.brahmbhatt690@gmail.com,9384846643,Plumber,Mumbai,395 Mumbai Street,19.070306,72.870298,2,190,639,Busy,Pipe Repair,19,No,https://randomuser.me/api/portraits/men/3.jpg,Professional plumber service provider in Mumbai
FC4DWZHUZ1,Mahima Sharadchandra Bhalla,mahima.bhalla834@gmail.com,9386564468,Plumber,Mumbai,386 Mumbai Street,19.069431,72.867253,2,80,340,Available,Electrical Wiring,6,No,https://randomuser.me/api/portraits/men/78.jpg,Professional plumber service provider in Mumbai
XMG5BHUYXA,Vinit Jignesh Chandel,vinit.chandel613@gmail.com,9736005866,Plumber,Mumbai,892 Mumbai Street,19.076814,72.860934,2,71,671,Busy,Pipe Repair,14,No,https://randomuser.me/api/portraits/men/17.jpg,Professional plumber service provider in Mumbai
QIKVE9AI3P,Aditi Paschal Brahme,aditi.brahme529@gmail.com,9521345024,Plumber,Mumbai,508 Mumbai Street,19.058447,72.861501,2,20,485,On Leave,Furniture Repair,16,No,https://randomuser.me/api/portraits/men/32.jpg,Professional plumber service provider in Mumbai
7Y707LEDXT,Ayansh Marut Bidkar,ayansh.bidkar244@gmail.com,9744811803,Plumber,Mumbai,185 Mumbai Street,19.072151,72.871332,2,298,788,Available,Electrical Wiring,10,Yes,https://randomuser.me/api/portraits/men/88.jpg,Professional plumber service provider in Mumbai
UMOVXVUAC4,Tanvi Om Mangal,tanvi.mangal969@gmail.com,9423226876,Plumber,Mumbai,991 Mumbai Street,19.077581,72.886793,3,52,618,Available,AC Gas Refill,10,Yes,https://randomuser.me/api/portraits/men/59.jpg,Professional plumber service provider in Mumbai
1P12ZXJG2X,Kshipra Bhupendra Adhikari,kshipra.adhikari394@gmail.com,9093956166,Plumber,Mumbai,332 Mumbai Street,19.076248,72.869351,3,50,364,Available,Termite Treatment,12,No,https://randomuser.me/api/portraits/men/24.jpg,Professional plumber service provider in Mumbai
PNI1XCEQSH,Sarika Rajendra Darji,sarika.darji414@gmail.com,9098838318,Plumber,Mumbai,131 Mumbai Street,19.072184,72.871377,3,157,335,Busy,Deep Cleaning,17,No,https://randomuser.me/api/portraits/men/78.jpg,Professional plumber service provider in Mumbai
4I8IVW6KJY,Rashmi Bhaumik Pachauri,rashmi.pachauri625@gmail.com,9282812353,Plumber,Mumbai,501 Mumbai Street,19.079378,72.897548,3,267,454,On Leave,Furniture Repair,19,No,https://randomuser.me/api/portraits/men/80.jpg,Professional plumber service provider in Mumbai
